Additional Distance Population Index,Additional Travel Distance,No. area grid without access,Population without access,Total travel distance,lat,lon,id
91902.40033,0,27,70295.99895,1782.128789,19.767277,-72.216277,632692119
0,0,28,104628.5164,1774.304625,19.7411151,-72.1941764,628645371
0,0,28,104628.5164,1774.304625,19.7327323,-72.1833009,628645379
22176.86227,0,28,104628.5164,1775.03347,19.7251301,-72.1819314,628645505
0,0,28,104628.5164,1774.304625,19.7303789,-72.1884315,2264736189
0,0,28,104628.5164,1774.304625,19.739205,-72.1858811,2264802621
0,0,28,104628.5164,1774.304625,19.7245942,-72.1887371,2271242650
0,0,28,104628.5164,1774.304625,19.7280223,-72.1919645,2272811927
5920.846685,0,28,104628.5164,1776.242733,19.6985971,-72.1772946,2276427433
1926.107899,0,28,104628.5164,1775.205595,19.733,-72.15,631487483
0,0,28,104628.5164,1774.304625,19.6977428,-72.1575781,2260607852
0,0,28,104628.5164,1774.19462,19.6976465,-72.1564751,2322068476
597.4639565,0,28,104628.5164,1774.529741,19.6438748,-72.1807403,628649757
682.2663398,0,28,104628.5164,1774.529741,19.6418221,-72.181108,628649760
0,0,28,104628.5164,1774.304625,19.6225118,-72.1852564,628650196
0,0,28,104628.5164,1752.796696,19.6114825,-72.172815,628650832
0,0,28,104628.5164,1767.830235,19.583333,-72.183333,632692041
65168.69601,0,28,104628.5164,1792.377622,19.6098537,-72.2094328,629286438
31358.43188,0,28,104628.5164,1775.987813,19.5787386,-72.1699989,629230726
1731.216988,0,28,104628.5164,1774.916061,19.4376807,-72.2002164,629093444
1274.481177,0,28,104628.5164,1774.295688,19.4363909,-72.2002775,629896948
390.3254739,0,28,104628.5164,1774.420656,19.669516,-72.1261064,2214762167
9280.831363,0,28,104628.5164,1782.627871,19.6710831,-72.1223297,2289373807
75223.26243,0,28,104628.5164,1813.164046,19.6335293,-72.1461193,2289341926
9151.425674,0,28,104628.5164,1776.364991,19.3376678,-72.118866,629277720
3408.938146,0,28,104628.5164,1776.665595,19.333333,-72.116666,618292223
2266.71796,0,28,104628.5164,1775.026995,19.3362284,-72.1141588,628653937
33523.44643,0,28,104628.5164,1772.49419,19.7273518,-72.119215,628645909
2865.306433,0,28,104628.5164,1775.525043,19.4694151,-72.1142344,628652631
1096.848648,0,28,104628.5164,1774.650679,19.4704158,-72.1161481,3242962720
5635.917742,0,28,104628.5164,1755.415735,19.4104377,-72.0828684,628653683
0,0,28,104628.5164,1774.304625,19.3993733,-72.0575757,631493952
0,0,28,104628.5164,1774.304625,19.399373,-72.057575,631493962
20749.17663,0,28,104628.5164,1787.030707,19.3381795,-72.0239049,628654409
13298.92447,0,28,104628.5164,1782.852707,19.3507132,-72.0219336,631493964
